LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Berberis darwinii|NBNSYS0000014745|Darwin's Barberry|Plantae|Berberidaceae","Berberis darwinii","Hook.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","Berberis darwinii",,"3","Global Register of Introduced and Invasive Species - Great Britain"
"Branta canadensis|NBNSYS0000000009|Canada Goose|Animalia|Anatidae","Branta canadensis","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis",,"2","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Bromus lepidus|NHMSYS0000456675|Slender Soft-brome|Plantae|Poaceae","Bromus lepidus","Holmb.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Bromus","Bromus lepidus",,"2",""
"Buddleja davidii|NHMSYS0000456713|Butterfly-bush|Plantae|Scrophulariaceae","Buddleja davidii","Franch.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Buddleja","Buddleja davidii",,"2","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Calystegia silvatica|NHMSYS0000456330|Large Bindweed|Plantae|Convolvulaceae","Calystegia silvatica","(Kit.) Griseb.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Calystegia","Calystegia silvatica",,"1",""
"Campylopus introflexus|NBNSYS0000036261|Heath Star Moss|Plantae|Leucobryaceae","Campylopus introflexus","(Hedw.) Brid.",,"SPECIES","Plantae","Bryophyta","Bryopsida","Dicranales","Leucobryaceae","Campylopus","Campylopus introflexus",,"13","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Capra hircus|NHMSYS0000080201|Feral Goat|Animalia|Bovidae","Capra hircus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus",,"4","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Capreolus capreolus|NHMSYS0000080203|Roe Deer|Animalia|Cervidae","Capreolus capreolus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Capreolus","Capreolus capreolus",,"3","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Non-native species of interest to Northern Ireland"
"Capsella bursa-pastoris|NHMSYS0000456781|Shepherd's-purse|Plantae|Brassicaceae","Capsella bursa-pastoris","(L.) Medik.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Capsella","Capsella bursa-pastoris",,"9",""
"Carabus cancellatus|NBNSYS0000007131||Animalia|Carabidae","Carabus cancellatus","Illiger, 1798",,"SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus cancellatus",,"2",""
"Cervus nippon|NBNSYS0000005144|Sika Deer|Animalia|Cervidae","Cervus nippon","Temminck, 1838",,"SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus nippon",,"3","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Cladosiphon zosterae|NHMSYS0021058468||Chromista|Chordariaceae","Cladosiphon zosterae","(J.Agardh) Kylin, 1940",,"SPECIES","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Cladosiphon","Cladosiphon zosterae",,"15","Non-native species of interest to Northern Ireland"
"Claytonia sibirica|NBNSYS0000003080|Pink Purslane|Plantae|Montiaceae","Claytonia sibirica","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Claytonia sibirica",,"11","Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Columba livia|NHMSYS0000530307|Rock Dove|Animalia|Columbidae","Columba livia","Gmelin, JF, 1789",,"SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba livia",,"12",""
"Conium maculatum|NBNSYS0000003655|Hemlock|Plantae|Apiaceae","Conium maculatum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Conium","Conium maculatum",,"3",""
"Cornu aspersum|NHMSYS0020528153|Common Garden Snail|Animalia|Helicidae","Cornu aspersum","(O. F. Müller, 1774)",,"SPECIES","Animalia","Mollusca","Gastropoda","Pulmonata","Helicidae","Cornu","Cornu aspersum",,"2",""
"Cotoneaster horizontalis|NHMSYS0000457587|Wall Cotoneaster|Plantae|Rosaceae","Cotoneaster horizontalis","Decne.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster","Cotoneaster horizontalis",,"1","Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Cotoneaster integrifolius|NHMSYS0000457600|Entire-leaved Cotoneaster|Plantae|Rosaceae","Cotoneaster integrifolius","(Roxb.) G. Klotz",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster","Cotoneaster integrifolius",,"7","Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Cotoneaster simonsii|NBNSYS0000003424|Himalayan Cotoneaster|Plantae|Rosaceae","Cotoneaster simonsii","Baker",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster","Cotoneaster simonsii",,"12","Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Crocosmia pottsii x aurea = C. x crocosmiiflora|NHMSYS0001754398|Montbretia|Plantae|Iridaceae","Crocosmia pottsii x aurea = C. x crocosmiiflora","(Lemoine) N.E. Br.",,"SPECIES_HYBRID","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Iridaceae","Crocosmia",,,"27","Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Crocosmia pottsii|NHMSYS0000457715|Potts' Montbretia|Plantae|Iridaceae","Crocosmia pottsii","(Macnab ex Baker) N.E. Br.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Iridaceae","Crocosmia","Crocosmia pottsii",,"2",""
"Cygnus cygnus|NBNSYS0000000199|Whooper Swan|Animalia|Anatidae","Cygnus cygnus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus cygnus",,"1",""
"Cygnus olor|NBNSYS0000000010|Mute Swan|Animalia|Anatidae","Cygnus olor","(Gmelin, JF, 1789)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor",,"395",""
"Cymbalaria muralis|NHMSYS0000457806|Ivy-leaved Toadflax|Plantae|Plantaginaceae","Cymbalaria muralis","P. Gaertn., B. Mey. & Scherb.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Cymbalaria","Cymbalaria muralis",,"6",""
"Epilobium brunnescens|NHMSYS0000458396|New Zealand Willowherb|Plantae|Onagraceae","Epilobium brunnescens","(Cockayne) P.H. Raven & Engelhorn",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","Epilobium brunnescens",,"25",""
"Epilobium ciliatum|NHMSYS0000458397|American Willowherb|Plantae|Onagraceae","Epilobium ciliatum","Raf.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","Epilobium ciliatum",,"25",""
"Erica lusitanica|NBNSYS0000003911|Portuguese Heath|Plantae|Ericaceae","Erica lusitanica","Rudolphi",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Erica","Erica lusitanica",,"1",""
"Erinus alpinus|NBNSYS0000004093|Fairy Foxglove|Plantae|Plantaginaceae","Erinus alpinus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Erinus","Erinus alpinus",,"1",""
"Escallonia macrantha|NBNSYS0000004618|Escallonia|Plantae|Escalloniaceae","Escallonia macrantha","Hook. & Arn.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Escalloniales","Escalloniaceae","Escallonia","Escallonia macrantha",,"2",""
"Euophryum confine|NBNSYS0000025263||Animalia|Curculionidae","Euophryum confine","(Broun, 1881)",,"SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euophryum","Euophryum confine",,"1",""
"Euphorbia helioscopia|NBNSYS0000003732|Sun Spurge|Plantae|Euphorbiaceae","Euphorbia helioscopia","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia helioscopia",,"1",""
"Euphorbia peplus|NBNSYS0000003733|Petty Spurge|Plantae|Euphorbiaceae","Euphorbia peplus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia peplus",,"2",""
"Fallopia convolvulus|NHMSYS0000458715|Black-bindweed|Plantae|Polygonaceae","Fallopia convolvulus","(L.) Á. Löve",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Fallopia","Fallopia convolvulus",,"2","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Fallopia japonica|NHMSYS0000458716|Japanese Knotweed|Plantae|Polygonaceae","Fallopia japonica","(Houtt.) Ronse Decr.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Fallopia","Fallopia japonica",,"9","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Fuchsia magellanica|NBNSYS0000003603|Fuchsia|Plantae|Onagraceae","Fuchsia magellanica","Lam.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Fuchsia","Fuchsia magellanica",,"39",""
"Fumaria officinalis|NBNSYS0000002793|Common Fumitory|Plantae|Papaveraceae","Fumaria officinalis","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Fumaria","Fumaria officinalis",,"1",""
"Galeopsis speciosa|NHMSYS0000458954|Large-flowered Hemp-nettle|Plantae|Lamiaceae","Galeopsis speciosa","Mill.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Galeopsis","Galeopsis speciosa",,"1",""
"Geranium dissectum|NBNSYS0000003157|Cut-leaved Crane's-bill|Plantae|Geraniaceae","Geranium dissectum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium","Geranium dissectum",,"2",""
"Glebionis segetum|NHMSYS0020110561|Corn Marigold|Plantae|Asteraceae","Glebionis segetum","(L.) Fourr.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Glebionis","Glebionis segetum",,"1",""
"Halothrix lumbricalis|NHMSYS0021058497||Chromista|Chordariaceae","Halothrix lumbricalis","(Kützing) Reinke, 1888",,"SPECIES","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Halothrix","Halothrix lumbricalis",,"8","Non-native species of interest to Northern Ireland"
"Hebe salicifolia|NHMSYS0000459236|Koromiko|Plantae|Plantaginaceae","Hebe salicifolia","(G. Forst.) Pennell",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Hebe","Hebe salicifolia",,"2",""
"Hypericum calycinum|NBNSYS0000002956|Rose-of-Sharon|Plantae|Hypericaceae","Hypericum calycinum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum calycinum",,"1",""
"Juncus tenuis|NBNSYS0000002211|Slender Rush|Plantae|Juncaceae","Juncus tenuis","Willd.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Poales","Juncaceae","Juncus","Juncus tenuis",,"36",""
"Lamium album|NBNSYS0000004244|White Dead-nettle|Plantae|Lamiaceae","Lamium album","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium","Lamium album",,"2",""
"Lamium hybridum|NHMSYS0000460083|Cut-leaved Dead-nettle|Plantae|Lamiaceae","Lamium hybridum","Vill.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium","Lamium hybridum",,"2",""
"Lamium purpureum|NBNSYS0000004243|Red Dead-nettle|Plantae|Lamiaceae","Lamium purpureum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium","Lamium purpureum",,"9",""
"Larix decidua|NHMSYS0000460126|European Larch|Plantae|Pinaceae","Larix decidua","Mill.",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Larix","Larix decidua",,"13",""
"Larix kaempferi|NHMSYS0000460129|Japanese Larch|Plantae|Pinaceae","Larix kaempferi","(Lamb.) Carrière",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Larix","Larix kaempferi",,"8",""
"Lathyrus latifolius|NBNSYS0000003305|Broad-leaved Everlasting-pea|Plantae|Fabaceae","Lathyrus latifolius","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus","Lathyrus latifolius",,"1","INNS of Interest to Wales June 2022"
"Lepus europaeus|NHMSYS0000080218|Brown Hare|Animalia|Leporidae","Lepus europaeus","Pallas, 1778",,"SPECIES","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus europaeus",,"6","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Non-native species of interest to Northern Ireland"
"Ligustrum ovalifolium|NBNSYS0000003952|Garden Privet|Plantae|Oleaceae","Ligustrum ovalifolium","Hassk.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","Ligustrum ovalifolium",,"1",""
"Linaria repens|NHMSYS0000460387|Pale Toadflax|Plantae|Plantaginaceae","Linaria repens","(L.) Mill.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Linaria","Linaria repens",,"5",""
"Lolium multiflorum|NBNSYS0000002529|Italian Rye-grass|Plantae|Poaceae","Lolium multiflorum","Lam.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Lolium","Lolium multiflorum",,"1",""
"Lunaria annua|NBNSYS0000002918|Honesty|Plantae|Brassicaceae","Lunaria annua","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Lunaria","Lunaria annua",,"2",""
"Lupinus polyphyllus|NHMSYS0000460487|Garden Lupin|Plantae|Fabaceae","Lupinus polyphyllus","Lindl.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus polyphyllus",,"2",""
"Lycopersicon esculentum|NHMSYS0000460517|Tomato|Plantae|Solanaceae","Lycopersicon esculentum","Mill.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycopersicon","Lycopersicon esculentum",,"2",""
"Lysimachia punctata|NBNSYS0000003938|Dotted Loosestrife|Plantae|Primulaceae","Lysimachia punctata","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia","Lysimachia punctata",,"1",""
"Mareca penelope|NHMSYS0021276071|Wigeon|Animalia|Anatidae","Mareca penelope","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca penelope",,"4","Global Register of Introduced and Invasive Species - Great Britain"
"Matricaria chamomilla|NHMSYS0021128571|Scented Mayweed|Plantae|Asteraceae","Matricaria chamomilla","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria","Matricaria chamomilla",,"3",""
"Matricaria discoidea|NBNSYS0000004462|Pineappleweed|Plantae|Asteraceae","Matricaria discoidea","DC.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria","Matricaria discoidea",,"19",""
"Mentha spicata|NBNSYS0000004203|Spear Mint|Plantae|Lamiaceae","Mentha spicata","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Mentha spicata",,"2",""
"Microspongium globosum|NHMSYS0021058524||Chromista|Chordariaceae","Microspongium globosum","Reinke, 1888",,"SPECIES","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Microspongium","Microspongium globosum",,"6","Non-native species of interest to Northern Ireland"
"Mya arenaria|NHMSYS0021054648|Sand Gaper|Animalia|Myidae","Mya arenaria","Linnaeus, 1758",,"SPECIES","Animalia","Mollusca","Bivalvia","Myoida","Myidae","Mya","Mya arenaria",,"1","Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Myosotis arvensis|NBNSYS0000004012|Field Forget-me-not|Plantae|Boraginaceae","Myosotis arvensis","(L.) Hill",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida",,"Boraginaceae","Myosotis","Myosotis arvensis",,"13",""
"Neovison vison|NHMSYS0020774297|American Mink|Animalia|Mustelidae","Neovison vison","(Schreber, 1777)",,"SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison",,"19","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Oryctolagus cuniculus|NHMSYS0000080219|Rabbit|Animalia|Leporidae","Oryctolagus cuniculus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus",,"9","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Oxalis articulata|NBNSYS0000003180|Pink-sorrel|Plantae|Oxalidaceae","Oxalis articulata","Savigny",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","Oxalis","Oxalis articulata",,"1",""
"Phasianus colchicus|NHMSYS0000530559|Pheasant|Animalia|Phasianidae","Phasianus colchicus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus colchicus",,"44","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Picea abies|NHMSYS0000461247|Norway Spruce|Plantae|Pinaceae","Picea abies","(L.) H. Karst.",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea abies",,"2",""
"Picea sitchensis|NHMSYS0000461257|Sitka Spruce|Plantae|Pinaceae","Picea sitchensis","(Bong.) Carrière",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea sitchensis",,"21","INNS of Interest to Wales June 2022"
"Pinus contorta|NBNSYS0000004786|Lodgepole Pine|Plantae|Pinaceae","Pinus contorta","Douglas ex Loudon",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus contorta",,"6","INNS of Interest to Wales June 2022"
"Pinus nigra subsp. laricio|NBNSYS0000004632|Corsican Pine|Plantae|Pinaceae","Pinus nigra subsp. laricio","Maire",,"SUBSPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus nigra",,"4",""
"Pinus nigra|NHMSYS0000461716|Austrian Pine|Plantae|Pinaceae","Pinus nigra","J.F. Arnold",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus nigra",,"2","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Polygonum arenastrum|NBNSYS0000003745|Equal-leaved Knotgrass|Plantae|Polygonaceae","Polygonum arenastrum","Boreau",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Polygonum arenastrum",,"14",""
"Prunus cerasifera|NBNSYS0000003416|Cherry Plum|Plantae|Rosaceae","Prunus cerasifera","Ehrh.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus cerasifera",,"1",""
"Prunus domestica|NBNSYS0000003413|Wild Plum|Plantae|Rosaceae","Prunus domestica","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus domestica",,"2",""
"Raphanus raphanistrum subsp. raphanistrum|NHMSYS0000462283|Wild Radish|Plantae|Brassicaceae","Raphanus raphanistrum subsp. raphanistrum","L.",,"SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus","Raphanus raphanistrum",,"6",""
"Raphanus sativus|NBNSYS0000002820|Garden Radish|Plantae|Brassicaceae","Raphanus sativus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus","Raphanus sativus",,"2",""
"Rattus norvegicus|NHMSYS0000080212|Brown Rat|Animalia|Muridae","Rattus norvegicus","(Berkenhout, 1769)",,"SPECIES","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus",,"5","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland"
"Rhododendron ponticum|NBNSYS0000003888|Rhododendron|Plantae|Ericaceae","Rhododendron ponticum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","Rhododendron ponticum",,"54","Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022"
"Ribes nigrum|NBNSYS0000003515|Black Currant|Plantae|Grossulariaceae","Ribes nigrum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes nigrum",,"2",""
"Ribes uva-crispa|NBNSYS0000003518|Gooseberry|Plantae|Grossulariaceae","Ribes uva-crispa","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes uva-crispa",,"9",""
"Rosa rugosa|NHMSYS0000462477|Japanese Rose|Plantae|Rosaceae","Rosa rugosa","Thunb.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","Rosa rugosa",,"11","UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|INNS of Interest to Wales June 2022"
"Rubus armeniacus|NHMSYS0000840823|Giant Blackberry|Plantae|Rosaceae","Rubus armeniacus","Focke",,"MICROSPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus",,,"1",""
"Rubus spectabilis|NBNSYS0000003324|Salmonberry|Plantae|Rosaceae","Rubus spectabilis","Pursh",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus spectabilis",,"26","The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Non-native species of interest to Northern Ireland"
"Salix alba|NBNSYS0000003859|White Willow|Plantae|Salicaceae","Salix alba","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix alba",,"1",""
"Salix viminalis|NBNSYS0000003866|Osier|Plantae|Salicaceae","Salix viminalis","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix viminalis",,"6",""
