Slope,Altitude,eventID,occurrenceID,basisOfRecord,Kingdom,Class,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,BMWP
South,Low,S3B,S3B_3,Humanobservation,Animalia,Aves,Passeriformes,Corvus corax,Common raven,Species,2,2,
South,High,S1B,S1B_2,Humanobservation,Animalia,Aves,Passeriformes,Corvus corax,Common raven,Species,2,2,
North,Medium,N2B,N2B_2,Humanobservation,Animalia,Aves,Passeriformes,Corvus corone,Carrion crow,Species,2,2,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Passeriformes,Cyanistes caeruleus,Blue tit,Species,1,1,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Passeriformes,Erithacus rubecula,European robin,Species,1,1,
South,Medium,S2B_OoB,S2B_OoB_3,Humanobservation,Animalia,Aves,Passeriformes,Erithacus rubecula,European robin,Species,1,1,
South,Medium,S2B,S2B_1,Humanobservation,Animalia,Aves,Falconiformes,Falco tinnunculus,Common kestrel,Species,1,1,
North,High,NB_I,NB_I_2,Humanobservation,Animalia,Aves,Falconiformes,Falco tinnunculus,Common kestrel,Species,1,1,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Passeriformes,Motacilla alba,Pied wagtail,Species,1,1,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Passeriformes,Periparus ater,Coal tit,Species,1,1,
South,Medium,S2B_OoB,S2B_OoB_2,Humanobservation,Animalia,Aves,Passeriformes,Troglodytes troglodytes,Eurasion wren,Species,1,1,
South,Medium,S2B_OoB,S2B_OoB_3,Humanobservation,Animalia,Aves,Passeriformes,Troglodytes troglodytes,Eurasion wren,Species,2,2,
South,High,S1B,S1B_5,Humanobservation,Animalia,Aves,Passeriformes,Troglodytes troglodytes,Eurasion wren,Species,2,2,
North,Medium,N2B,N2B_3,Humanobservation,Animalia,Aves,Passeriformes,Turdus philomelos,Song thrush,Species,3,3,
South,Low,S3B,S3B_4,Humanobservation,Animalia,Aves,Passeriformes,Turdus philomelos,Song thrush,Species,1,1,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Passeriformes,Turdus sp,Unidentified thrush,Genus,1,1,
North,,ND4FI_A,ND4FI_W1,Humanobservation,Animalia,FWI,Plecoptera,Plecoptera sp,Stonefly_larvae,Order,4,4,7
North,,ND4FI_A,ND4FI_W2,Humanobservation,Animalia,FWI,Ephemeroptera,Ephemeropltera sp,Mayfly_larvae,Order,2,2,10
North,,ND4FI_A,ND4FI_W3,Humanobservation,Animalia,FWI,Coleoptera,Dytiscidae sp,Waterbeetle ,Order,1,1,5
North,,ND4FI_A,ND4FI_W4,Humanobservation,Animalia,FWI,Oligochaeta,Oligochaeta sp,Worm,Order,2,2,1
North,,ND4FI_B,ND4FI_E1,Humanobservation,Animalia,FWI,Odonata,Anisoptera sp,Dragonfly_larvae,Family,1,1,
North,,ND4FI_B,ND4FI_E2,Humanobservation,Animalia,FWI,Oligochaeta,Oligochaeta sp,Worm,Order,3,3,1
North,,ND4FI_B,ND4FI_E3,Humanobservation,Animalia,FWI,Plecoptera,Plecoptera sp,Stonefly_larvae,Order,1,1,7
North,,ND4FI_B,ND4FI_E4,Humanobservation,Animalia,FWI,Ephemeroptera,Ephemeropltera sp,Mayfly_larvae,Order,3,3,10
North,,ND4FI_B,ND4FI_E5,Humanobservation,Animalia,FWI,Coleoptera,Coleoptera sp,Waterbeetle_larvae,Order,1,1,5
North,,ND4FI_B,ND4FI_E6,Humanobservation,Animalia,FWI,Trichoptera,Hydropsychidae sp,Cased_caddisfly_larvae,Order,2,2,7.5
North,,NU4FI_A,NU4FI_W1,Humanobservation,Animalia,FWI,Trichoptera,Hydropsychidae sp,Caddisfly_larvae,Family,1,1,7.5
North,,NU4FI_A,NU4FI_W2,Humanobservation,Animalia,FWI,Coleoptera,Coleoptera sp,Waterbeetle ,Order,3,3,5
North,,NU4FI_A,NU4FI_W3,Humanobservation,Animalia,FWI,Oligochaeta,Oligochaeta sp,Worm,Order,1,1,1
North,,NU4FI_A,NU4FI_W4,Humanobservation,Animalia,FWI,Trichoptera,Philopotamidae sp,Caseless_caddisfly_larvae,Family,4,4,7.5
North,,NU4FI_A,NU4FI_W5,Humanobservation,Animalia,FWI,Trichoptera,Philopotamidae sp,Cased_caddisfly_larvae,Order,3,3,7.5
North,,NU4FI_A,NU4FI_W6,Humanobservation,Animalia,FWI,Odonata,Anisoptera sp,Dragonfly_larvae,Family,1,1,
North,,NU4FI_B,NU4FI_E1,Humanobservation,Animalia,FWI,Plecoptera,Plecoptera sp,Stonefly_larvae,Order,2,2,7
North,,NU4FI_B,NU4FI_E2,Humanobservation,Animalia,FWI,Ephemeroptera,Ephemeropltera sp,Mayfly_larvae,Order,1,1,10
North,,NU4FI_B,NU4FI_E3,Humanobservation,Animalia,FWI,Oligochaeta,Oligochaeta sp,Worm,Order,1,1,1
South,,SD4FI_A,D4FI_A1,Humanobservation,Animalia,FWI,Oligochaeta,Oligochaeta sp,Worm,Order,1,1,1
South,,SD4FI_A,D4FI_A2,Humanobservation,Animalia,FWI,Diptera,Simuliidae sp,Blackfly_larvae,Order,1,1,5
South,,SD4FI_B,SD4FI_B1,Humanobservation,Animalia,FWI,Coleoptera,Coleoptera sp,Diving_beetle,Family,1,1,5
South,,SD4FI_B,SD4FI_B2,Humanobservation,Animalia,FWI,Hemiptera,Notonectidae sp,Lesser Water Boatman,Family,4,4,
South,,SD4FI_B,SD4FI_B3,Humanobservation,Animalia,FWI,Odonata,Zygoptera sp,Damselfly_larvae,Suborder,2,2,
South,,SD4FI_B,SD4FI_B4,Humanobservation,Animalia,FWI,Odonata,Anisoptera sp,Dragonfly_larvae,Infraorder,3,3,
South,,SD4FI_B,SD4FI_B5,Humanobservation,Animalia,FWI,Hemiptera,Corixidae sp,Greater Water Boatman,Family,2,2,5
South,,SU4FI_A,SU4F1_A4,Humanobservation,Animalia,FWI,Trichoptera,Philopotamidae sp,Caddisfly_larvae,Order,1,1,7.5
South,,SU4FI_A,SU4F1_A5,Humanobservation,Animalia,FWI,Ephemeroptera,Ephemeropltera sp,Mayfly_larvae,Order,2,2,10
South,,SU4FI_A,SU4FI_A1,Humanobservation,Animalia,FWI,Plecoptera,Plecoptera sp,Stonefly_larvae,Order,8,8,7
South,,SU4FI_A,SU4FI_A2,Humanobservation,Animalia,FWI,Coleoptera,Coleoptera sp,Waterbeetle_larvae ,Order,1,1,5
South,,SU4FI_A,SU4FI_A3,Humanobservation,Animalia,FWI,Coleoptera,Coleoptera sp,Waterbeetle ,Order,1,1,5
South,,SU4FI_B,SU4FI_B1,Humanobservation,Animalia,FWI,Ephemeroptera,Ephemeropltera sp,Mayfly_larvae,Order,2,2,10
South,,SU4FI_B,SU4FI_B2,Humanobservation,Animalia,FWI,Plecoptera,Plecoptera sp,Stonefly_larvae,Order,1,1,7
South,,SU4FI_B,SU4FI_B3,Humanobservation,Animalia,FWI,Trichoptera,Hydropsychidae sp,Caddisfly_case,Order,1,1,7.5
South,,SU4FI_B,SU4FI_B4,Humanobservation,Animalia,FWI,Diptera,Simuliidae sp,Blackfly_larvae,Family,1,1,5
North,Low,N3TIT_A,N3TIT_A7,Humanobservation,Animalia,Insecta,Lepidoptera,Agrius convolvuli,Convolvulus_hawk_moth,Species ,1,1,
South,Medium,S2TIP_C,S2TIP_C1,Humanobservation,Animalia,Insecta,Coleoptera,Anoplotrupes stercorosus,Dor_beetle,Species,1,1,
South,High,S1TIN_B,S1TIN_B5,Humanobservation,Animalia,Insecta,Hemiptera,Aphididae sp,Aphid,Family,1,1,
North,Medium,N2TIN_F,N2TIN_F2,Humanobservation,Animalia,Insecta,Hemiptera,Aphididae sp,Aphid,Family,1,1,
North,Low,N3TIT_E,N3TIT_E1,Humanobservation,Animalia,Insecta,Lepidoptera,Aporophyla nigra,Black_rustic ,Species ,3,3,
North,Low,N3TIT_J,N3TIT_J1,Humanobservation,Animalia,Insecta,Lepidoptera,Aporophyla nigra,Black_rustic ,Species,1,1,
South,Low,S3TIP_E,S3TIP_E1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_A,S3TIN_A3,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_C,S3TIN_C3,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,2,2,
South,Low,S3TIN_D,S3TIN_D2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_E,S3TIN_E4,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_E,S3TIN_E5,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_F,S3TIN_F3,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,2,2,
South,Low,S3TIN_F,S3TIN_F4,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_F,S3TIN_F5,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Low,S3TIN_H,S3TIN_H1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Medium,S2TIN_A,S2TIN_A2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Medium,S2TIN_C,S2TIN_C2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Medium,S2TIN_F,S2TIN_F1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,Medium,S2TIN_G,S2TIN_G1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,2,2,
South,Medium,S2TIN_H,S2TIN_H2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,3,3,
South,High,S1TIN_A,S1TIN_A1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,2,2,
South,High,S1TIN_B,S1TIN_B2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_B,S1TIN_B3,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_B,S1TIN_B4,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_C,S1TIN_C1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_D,S1TIN_D1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_D,S1TIN_D2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_F,S1TIN_F3,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
South,High,S1TIN_G,S1TIN_G1,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,2,2,
South,High,S1TIN_H,S1TIN_H2,Humanobservation,Animalia,Insecta,Araneae,Araneae sp,Spider,Order,1,1,
North,Low,N3TIT_E,N3TIT_E8,Humanobservation,Animalia,Insecta,Lepidoptera,Blastobasis lacticolella,Large_pale_masoner ,Species ,1,1,
North,Medium,N2TIP_J,N2TIP_J1,Humanobservation,Animalia,Insecta,Coleoptera,Calathus fuscipes,Ground Beetle,Family,7,7,
South,Low,S3TIT_J,S3TIT_J2,Humanobservation,Animalia,Insecta,Hymenoptera,Cardrina morpheus,Mottled_rustic,Species,1,1,
North,Low,N3TIT_J,N3TIT_J9,Humanobservation,Animalia,Insecta,Lepidoptera,Cardrina morpheus,Mottled_rustic,Species,1,1,
South,Low,S3TIT_A,S3TIT_A7,Humanobservation,Animalia,Insecta,Lepidoptera,Clubiona latreille,Leaf_curling_sac_spiders,Species ,1,1,
South,Low,S3TIT_A,S3TIT_A2,Humanobservation,Animalia,Insecta,Lepidoptera,Colostygia pectinataria,Green_carpet_moth,Species ,3,3,
North,Low,N3TIT_J,N3TIT_J8,Humanobservation,Animalia,Insecta,Lepidoptera,Colostygia pectinataria,Green_carpet_moth,Species,1,1,
South,Low,S3TIT_A,S3TIT_A4,Humanobservation,Animalia,Insecta,Lepidoptera,Conistra vaccinii,Chestnut_moth,Species ,1,1,
South,Low,S3TIT_J,S3TIT_J3,Humanobservation,Animalia,Insecta,Diptera,Culicidae sp,Mosquito,Family,4,4,
North,Low,N3TIT_J,N3TIT_J6,Humanobservation,Animalia,Insecta,Diptera,Culicidae sp,Mosquito,Family ,1,1,
South,Low,S3TIT_E,S3TIT_E1,Humanobservation,Animalia,Insecta,Lepidoptera,Denticucullus pygmina,Small_wainscot,Species ,2,2,
South,Low,S3TIT_A,S3TIT_A6,Humanobservation,Animalia,Insecta,Lepidoptera,Denticucullus pygmina,Small_wainscot,Species ,1,1,
North,Low,N3TIT_A,N3TIT_A2,Humanobservation,Animalia,Insecta,Lepidoptera,Denticucullus pygmina,Small_wainscot,Species ,2,2,
South,Low,S3TIN_A,S3TIN_A1,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,2,2,
South,Low,S3TIN_B,S3TIN_B1,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,3,3,
South,Low,S3TIN_B,S3TIN_B2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
South,Low,S3TIN_C,S3TIN_C2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
South,Low,S3TIN_D,S3TIN_D3,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,2,2,
South,Low,S3TIN_E,S3TIN_E1,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,4,4,
South,Low,S3TIN_E,S3TIN_E2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
South,Low,S3TIN_F,S3TIN_F6,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,3,3,
South,Low,S3TIN_G,S3TIN_G3,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,2,2,
South,Low,S3TIN_G,S3TIN_G4,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
South,Medium,S2TIN_E,S2TIN_E2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
South,Medium,S2TIN_G,S2TIN_G2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
South,Medium,S2TIN_J,S2TIN_J2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,1,1,
North,Medium,N2TIN_D,N2TIN_D2,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Order,2,2,
North,Low,N3TIT_J,N3TIT_J7,Humanobservation,Animalia,Insecta,Diptera,Diptera sp,Fly,Family,1,1,
South,Low,S3TIT_E,S3TIT_E5,Humanobservation,Animalia,Insecta,Lepidoptera,Dysstroma truncata,Common_marbled_carpet,Species ,1,1,
South,Low,S3TIT_A,S3TIT_A8,Humanobservation,Animalia,Insecta,Lepidoptera,Dysstroma truncata,Common_marbled_carpet,Species ,1,1,
South,High,S1TIN_A,S1TIN_A5,Humanobservation,Animalia,Insecta,Lepidoptera,Euthrix potatoria,Drinker_moth,Species,1,1,
North,Low,N3TIT_J,N3TIT_J4,Humanobservation,Animalia,Insecta,Lepidoptera,Euxoa nigricans,Garden_dart,Species,1,1,
South,Low,S3TIN_E,S3TIN_E6,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
South,Low,S3TIN_G,S3TIN_G1,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
South,High,S1TIN_C,S1TIN_C3,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
South,High,S1TIN_C,S1TIN_C4,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
South,High,S1TIN_F,S1TIN_F2,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
North,Medium,N2TIN_F,N2TIN_F3,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
North,Medium,N2TIN_G,N2TIN_G1,Humanobservation,Animalia,Insecta,Hymenoptera,Formicidae sp,Ant,Family,1,1,
North,Low,N3TIT_E,N3TIT_E3,Humanobservation,Animalia,Insecta,Lepidoptera,Geometridae sp,Larval_geometrid,Species ,1,1,
South,High,S1TIN_A,S1TIN_A3,Humanobservation,Animalia,Insecta,Coleoptera,Geotrupes stercorarius,Dor_beetle,Species,1,1,
South,Low,S3TIN_C,S3TIN_C4,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Low,S3TIN_D,S3TIN_D1,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Medium,S2TIN_D,S2TIN_D2,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Medium,S2TIN_D,S2TIN_D3,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Medium,S2TIN_E,S2TIN_E3,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Medium,S2TIN_H,S2TIN_H1,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Medium,S2TIN_J,S2TIN_J1,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,High,S1TIN_H,S1TIN_H4,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
North,Medium,N2TIN_D,N2TIN_D1,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,5,5,
North,Medium,N2TIN_F,N2TIN_F1,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
North,High,N1TIN_F,N1TIN_F1,Humanobservation,Animalia,Insecta,Hemiptera,Hemiptera sp,True_bug,Order,1,1,
South,Low,S3TIP_E,S3TIP_E2,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,1,1,
South,Low,S3TIN_E,S3TIN_E3,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,3,3,
South,Low,S3TIN_F,S3TIN_F2,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,2,2,
South,Low,S3TIN_G,S3TIN_G5,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,2,2,
South,Low,S3TIN_H,S3TIN_H2,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,1,1,
South,Low,S3TIN_J,S3TIN_J1,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,3,3,
South,Medium,S2TIN_B,S2TIN_B2,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,1,1,
South,Medium,S2TIN_E,S2TIN_E4,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,4,4,
South,High,S1TIN_H,S1TIN_H3,Humanobservation,Animalia,Insecta,Homoptera,Homoptera sp,Insect,Order,2,2,
South,Low,S3TIT_E,S3TIT_E6,Humanobservation,Animalia,Insecta,Ixodida,Ixodes ricinus,Sheep_tick ,Species ,1,1,
South,Low,S3TIP_J,S3TIP_J1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,1,1,
South,Low,S3TIN_A,S3TIN_A2,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,2,2,
South,Low,S3TIN_B,S3TIN_B3,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,2,2,
South,Low,S3TIN_C,S3TIN_C1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,2,2,
South,Low,S3TIN_F,S3TIN_F1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,1,1,
South,Low,S3TIN_G,S3TIN_G2,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,2,2,
South,Low,S3TIN_I,S3TIN_I1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,2,2,
South,Medium,S2TIN_A,S2TIN_A1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,11,11,
South,Medium,S2TIN_B,S2TIN_B1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,13,13,
South,Medium,S2TIN_C,S2TIN_C1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,19,19,
South,Medium,S2TIN_D,S2TIN_D1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,48,48,
South,Medium,S2TIN_E,S2TIN_E1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,25,25,
South,Medium,S2TIN_I,S2TIN_I1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,5,5,
South,High,S1TIN_A,S1TIN_A2,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,4,4,
South,High,S1TIN_B,S1TIN_B1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,20,20,
South,High,S1TIN_C,S1TIN_C2,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,1,1,
South,High,S1TIN_E,S1TIN_E1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,1,1,
South,High,S1TIN_F,S1TIN_F1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,4,4,
South,High,S1TIN_H,S1TIN_H1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,3,3,
North,Medium,N2TIN_I,N2TIN_I1,Humanobservation,Animalia,Insecta,Ixodida,Ixodoidea sp,Tick,Family,6,6,
South,Low,S3TIN_G,S3TIN_G6,Humanobservation,Animalia,Insecta,Araneae,Leiobunum rotundum,Harverstman_spider,Species,1,1,
South,Low,S3TIN_I,S3TIN_I3,Humanobservation,Animalia,Insecta,Lepidoptera,Lepidoptera sp,Caterpillar,Order,1,1,
South,Medium,S2TIN_B,S2TIN_B3,Humanobservation,Animalia,Insecta,Lepidoptera,Lepidoptera sp,Caterpillar,Order,2,2,
South,High,S1TIN_A,S1TIN_A4,Humanobservation,Animalia,Insecta,Lepidoptera,Lepidoptera sp,Caterpillar,Order,1,1,
South,Low,S3TIT_E,S3TIT_E4,Humanobservation,Animalia,Insecta,Trichoptera,Limnephilus lunatus,Caddis_fly,Species ,2,2,
South,Low,S3TIT_A,S3TIT_A10,Humanobservation,Animalia,Insecta,Trichoptera,Limnephilus lunatus,Cinnamon_sedge_caddisfly,Species ,1,1,
North,Low,N3TIT_A,N3TIT_A10,Humanobservation,Animalia,Insecta,Trichoptera,Limnephilus lunatus,Cinnamon_sedge_caddisfly,Species ,1,1,
North,Low,N3TIT_A,N3TIT_A4,Humanobservation,Animalia,Insecta,Diptera,Limoniidae sp,Crane_fly ,Family,3,3,
North,Low,N3TIT_A,N3TIT_A5,Humanobservation,Animalia,Insecta,Araneae,Linyphiidae sp,Money_spider,Family ,1,1,
South,Low,S3TIN_B,S3TIN_B4,Humanobservation,Animalia,Insecta,Araneae,Linyphiidae sp,Money_spider,Family,1,1,
South,Low,S3TIN_I,S3TIN_I2,Humanobservation,Animalia,Insecta,Araneae,Linyphiidae sp,Money_spider,Family,2,2,
North,Low,N3TIT_E,N3TIT_E5,Humanobservation,Animalia,Insecta,Lepidoptera,Noctua pronuba,Large_yellow_underwing,Species ,1,1,
North,Low,N3TIT_A,N3TIT_A9,Humanobservation,Animalia,Insecta,Hymenoptera,Ophion sp,Parasitic_wasps,Genus ,2,2,
North,Low,N3TIT_E,N3TIT_E6,Humanobservation,Animalia,Insecta,Lepidoptera,Paradiarsia glareosa,Autumnal_rustic ,Species ,1,1,
South,Low,S3TIP_E,S3TIP_E3,Humanobservation,Animalia,Insecta,Poduromorpha,Poduromorpha sp,Springtail,Order,1,1,
